name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,102,1000000,638.63ms,80.00ns,0.00ns,85.00ns,12.00ns,80.00ns,3.82us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,102,1000000,656.18ms,80.00ns,0.00ns,85.00ns,12.00ns,80.00ns,3.35us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,10001,1000000,758.86ms,130.00ns,0.00ns,127.00ns,16.00ns,120.00ns,8.67us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,10001,1000000,764.45ms,120.00ns,0.00ns,126.00ns,18.00ns,110.00ns,4.81us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1913704,507,4.51s,5.92ms,15.52us,5.92ms,21.61us,5.87ms,6.03ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1913704,516,4.51s,5.83ms,17.27us,5.82ms,37.66us,5.72ms,6.41ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,72184,4.56s,33.02us,269.00ns,33.20us,1.24us,31.21us,65.28us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,74008,4.56s,32.51us,219.00ns,32.56us,560.00ns,30.94us,50.87us
curated/08-words/all-english,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,76401,3223,4.51s,930.51us,2.37us,930.76us,3.90us,912.80us,0.97ms
curated/08-words/all-english,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,76401,3329,4.51s,901.07us,2.96us,901.27us,5.83us,880.01us,0.96ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,123942,399,4.51s,7.52ms,17.35us,7.52ms,26.72us,7.44ms,7.61ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,123942,413,4.56s,7.24ms,47.55us,7.28ms,138.05us,7.04ms,9.09ms
